[12/08/22] [13:16:08] Naqasake Komutan | Heal to id: 16
[12/08/22] [13:17:37] Naqasake Komutan | Adrenaline to id: 3
[12/08/22] [13:39:51] Antu Donmez | Adrenaline to id: 3
[12/08/22] [13:40:55] Antu Donmez | Adrenaline to id: 16
[12/08/22] [13:42:34] Jack Harris | Adrenaline to id: 1
[12/08/22] [13:50:17] Jack Harris | Adrenaline to id: 16
[12/08/22] [13:50:21] Jack Harris | Adrenaline to id: 16
[12/08/22] [13:50:24] Jack Harris | Heal to id: 16
[12/08/22] [13:51:46] Antu Donmez | Adrenaline to id: 16
[12/08/22] [13:52:25] Antu Donmez | Adrenaline to id: 3
[12/08/22] [13:52:36] Antu Donmez | Adrenaline to id: 16
[12/08/22] [13:52:57] Jack Harris | Adrenaline to id: 16
[12/08/22] [13:53:55] Antu Donmez | Adrenaline to id: 3
[12/08/22] [13:56:13] Jack Harris | Adrenaline to id: 16
[12/08/22] [13:57:38] Jack Harris | Adrenaline to id: 16
[12/08/22] [13:57:53] Jack Harris | Adrenaline to id: 16
[12/08/22] [14:47:28] Jack Harris | Adrenaline to id: 5
[12/08/22] [14:47:36] Fuat Kocaeli | Adrenaline to id: 5
[12/08/22] [14:48:15] Jack Harris | Adrenaline to id: 5
[12/08/22] [15:01:25] Fuat Kocaeli | Heal to id: 5
[12/08/22] [15:09:27] Antu Donmez | Adrenaline to id: 3
[12/08/22] [15:09:35] Antu Donmez | Adrenaline to id: 1
[12/08/22] [15:18:02] Fuat Kocaeli | Adrenaline to id: 5
[12/08/22] [15:23:00] Antu Donmez | Adrenaline to id: 1
[12/08/22] [15:34:59] Fuat Kocaeli | Heal to id: 5
[12/08/22] [15:42:57] Fuat Kocaeli | Heal to id: 5
[12/08/22] [16:40:48] Jack Harris | Adrenaline to id: 1
[12/08/22] [17:25:09] Mehmet Ekinci | Heal to id: 8
[12/08/22] [17:26:13] Jack Harris | Adrenaline to id: 17
[12/08/22] [17:26:22] Jack Harris | Heal to id: 17
[12/08/22] [17:26:26] Mehmet Ekinci | Heal to id: 18
[12/08/22] [17:26:28] Ahmet Tufan | Adrenaline to id: 17
[12/08/22] [17:26:29] Jack Harris | Adrenaline to id: 17
[12/08/22] [17:27:40] Ahmet Tufan | Adrenaline to id: 17
[12/08/22] [17:27:53] Ahmet Tufan | Heal to id: 17
[12/08/22] [17:28:50] Ahmet Tufan | Adrenaline to id: 17
[12/08/22] [17:29:11] Mehmet Ekinci | Heal to id: 17
[12/08/22] [17:30:31] Mehmet Ekinci | Heal to id: 8
[12/08/22] [17:36:45] Ahmet Tufan | Adrenaline to id: 17
[12/08/22] [17:36:56] Fuat Kocaeli | Heal to id: 17
[12/08/22] [17:37:00] Ahmet Tufan | Heal to id: 17
[12/08/22] [17:37:11] Fuat Kocaeli | Heal to id: 17
[12/08/22] [17:39:59] Abbas Devir | Heal to id: 31
[12/08/22] [17:42:28] Mehmet Ekinci | Heal to id: 8
[12/08/22] [17:45:06] Ahmet Tufan | Adrenaline to id: 17
[12/08/22] [17:45:13] Abbas Devir | Adrenaline to id: 31
[12/08/22] [17:46:25] Abbas Devir | Adrenaline to id: 18
[12/08/22] [17:46:31] Abbas Devir | Adrenaline to id: 17
[12/08/22] [17:46:38] Abbas Devir | Adrenaline to id: 17
[12/08/22] [17:46:46] Abbas Devir | Adrenaline to id: 31
[12/08/22] [17:47:17] Naqasake Komutan | Adrenaline to id: 17
[12/08/22] [17:47:19] Fuat Kocaeli | Heal to id: 17
[12/08/22] [17:48:54] Fuat Kocaeli | Adrenaline to id: 17
[12/08/22] [17:49:31] Abbas Devir | Heal to id: 17
[12/08/22] [18:16:30] Abbas Devir | Adrenaline to id: 18
[12/08/22] [18:16:39] Abbas Devir | Heal to id: 18
[12/08/22] [18:25:01] Abbas Devir | Adrenaline to id: 18
[12/08/22] [18:25:05] Abbas Devir | Heal to id: 18
[12/08/22] [18:26:40] Abbas Devir | Adrenaline to id: 18
[12/08/22] [18:26:48] Abbas Devir | Adrenaline to id: 18
[12/08/22] [18:26:53] Abbas Devir | Adrenaline to id: 18
[12/08/22] [18:26:57] Abbas Devir | Heal to id: 18
[12/08/22] [18:34:21] Abbas Devir | Adrenaline to id: 18
[12/08/22] [18:34:25] Abbas Devir | Adrenaline to id: 18
[12/08/22] [18:34:28] Abbas Devir | Adrenaline to id: 18
[12/08/22] [18:34:33] Abbas Devir | Heal to id: 18
[12/08/22] [18:34:36] Abbas Devir | Adrenaline to id: 18
[12/08/22] [18:34:40] Abbas Devir | Adrenaline to id: 18
[12/08/22] [18:35:14] Abbas Devir | Adrenaline to id: 18
[12/08/22] [18:35:18] Abbas Devir | Heal to id: 18
[12/08/22] [18:52:19] Abbas Devir | Adrenaline to id: 1
[12/08/22] [18:52:22] Abbas Devir | Heal to id: 1
[12/08/22] [18:57:30] Jack Harris | Adrenaline to id: 1
[12/08/22] [19:00:07] Abbas Devir | Heal to id: 17
[12/08/22] [19:10:58] Antu Donmez | Adrenaline to id: 3
[12/08/22] [19:11:03] Antu Donmez | Adrenaline to id: 3
[12/08/22] [19:11:11] Mehmet Ekinci | Adrenaline to id: 8
[12/08/22] [19:11:16] Antu Donmez | Adrenaline to id: 3
[12/08/22] [19:11:21] Mehmet Ekinci | Adrenaline to id: 8
[12/08/22] [19:11:37] Antu Donmez | Adrenaline to id: 3
[12/08/22] [19:11:52] Abbas Devir | Adrenaline to id: 17
[12/08/22] [19:11:56] Mehmet Ekinci | Heal to id: 8
[12/08/22] [19:12:00] Antu Donmez | Adrenaline to id: 3
[12/08/22] [19:12:06] Abbas Devir | Heal to id: 17
[12/08/22] [19:13:15] Antu Donmez | Adrenaline to id: 3
[12/08/22] [19:32:00] Mehmet Ekinci | Adrenaline to id: 8
[12/08/22] [19:32:07] Mehmet Ekinci | Heal to id: 8
[12/08/22] [19:44:40] Antu Donmez | Adrenaline to id: 3
[12/08/22] [23:10:49] Jack Harris | Adrenaline to id: 12
[12/08/22] [23:20:54] Ozgur Baba | Adrenaline to id: 1
[12/08/22] [23:35:25] Jack Harris | Adrenaline to id: 12
[12/08/22] [23:43:48] Emre Kurt | Adrenaline to id: 7
[12/08/22] [23:44:12] Emre Kurt | Adrenaline to id: 7
[12/08/22] [23:49:52] Jack Harris | Adrenaline to id: 1
[13/08/22] [00:04:43] Shybw Lone | Adrenaline to id: 11
[13/08/22] [00:13:48] Mehmet Ekinci | Adrenaline to id: 8
[13/08/22] [00:13:53] Mehmet Ekinci | Heal to id: 8
[13/08/22] [00:16:56] Mehmet Ekinci | Adrenaline to id: 8
[13/08/22] [00:17:04] Mehmet Ekinci | Heal to id: 8
[13/08/22] [00:17:40] Jack Harris | Adrenaline to id: 1
[13/08/22] [00:21:56] Mehmet Ekinci | Adrenaline to id: 8
[13/08/22] [00:22:06] Mehmet Ekinci | Adrenaline to id: 8
[13/08/22] [00:22:10] Mehmet Ekinci | Heal to id: 8
[13/08/22] [00:28:18] Mehmet Ekinci | Adrenaline to id: 8
[13/08/22] [00:28:27] Mehmet Ekinci | Adrenaline to id: 8
[13/08/22] [00:28:33] Mehmet Ekinci | Adrenaline to id: 8
[13/08/22] [00:32:04] Mehmet Ekinci | Adrenaline to id: 8
[13/08/22] [00:52:42] Naqasake Komutan | Adrenaline to id: 9
[13/08/22] [00:52:54] Naqasake Komutan | Heal to id: 9
[13/08/22] [00:59:32] Fuat Kocaeli | Adrenaline to id: 5
[13/08/22] [01:00:29] Fuat Kocaeli | Heal to id: 5
[13/08/22] [01:07:24] Ozgur Baba | Heal to id: 12
[13/08/22] [01:25:34] Fuat Kocaeli | Heal to id: 5
[13/08/22] [03:04:19] Emre Kurt | Adrenaline to id: 7
[13/08/22] [03:10:09] Abbas Devir | Heal to id: 17
[13/08/22] [03:11:39] Emre Kurt | Adrenaline to id: 7
[13/08/22] [03:23:21] Abbas Devir | Adrenaline to id: 17
[13/08/22] [03:23:32] Abbas Devir | Heal to id: 17
[13/08/22] [03:35:22] Abbas Devir | Heal to id: 17
[13/08/22] [03:36:23] Emre Kurt | Adrenaline to id: 7
[13/08/22] [12:02:08] Naqasake Komutan | Adrenaline to id: 4
[13/08/22] [12:02:17] Naqasake Komutan | Heal to id: 4
[13/08/22] [12:07:33] Mehmet Ekinci | Heal to id: 8
[13/08/22] [12:17:18] Antu Donmez | Adrenaline to id: 8
[13/08/22] [12:17:22] Antu Donmez | Adrenaline to id: 4
[13/08/22] [12:18:49] Antu Donmez | Adrenaline to id: 3
[13/08/22] [12:18:55] Antu Donmez | Adrenaline to id: 4
[13/08/22] [12:19:04] Antu Donmez | Adrenaline to id: 3
[13/08/22] [12:19:07] Antu Donmez | Adrenaline to id: 4
[13/08/22] [12:19:15] Antu Donmez | Adrenaline to id: 4
[13/08/22] [12:21:06] Antu Donmez | Adrenaline to id: 3
[13/08/22] [12:21:13] Antu Donmez | Adrenaline to id: 3
[13/08/22] [12:21:54] Antu Donmez | Adrenaline to id: 4
[13/08/22] [12:26:11] Antu Donmez | Adrenaline to id: 3
[13/08/22] [12:26:16] Antu Donmez | Adrenaline to id: 4
[13/08/22] [12:26:22] Antu Donmez | Adrenaline to id: 4
[13/08/22] [12:26:28] Antu Donmez | Adrenaline to id: 4
[13/08/22] [12:26:34] Antu Donmez | Adrenaline to id: 4
[13/08/22] [12:26:39] Naqasake Komutan | Adrenaline to id: 4
[13/08/22] [12:27:51] Antu Donmez | Adrenaline to id: 3
[13/08/22] [12:27:58] Antu Donmez | Adrenaline to id: 4
[13/08/22] [12:28:09] Antu Donmez | Adrenaline to id: 4
[13/08/22] [12:29:15] Antu Donmez | Adrenaline to id: 3
[13/08/22] [12:39:28] Mehmet Ekinci | Adrenaline to id: 8
[13/08/22] [12:39:38] Mehmet Ekinci | Heal to id: 8
[13/08/22] [12:44:27] Mehmet Ekinci | Adrenaline to id: 6
[13/08/22] [12:44:33] Mehmet Ekinci | Adrenaline to id: 16
[13/08/22] [12:44:37] Mehmet Ekinci | Heal to id: 16
[13/08/22] [12:45:54] Mehmet Ekinci | Adrenaline to id: 16
[13/08/22] [12:45:57] Naqasake Komutan | Adrenaline to id: 16
[13/08/22] [12:46:02] Naqasake Komutan | Heal to id: 16
